file_name,genre,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,rms_energy,energy_entropy,mean,std_dev,chroma,class
cl042,classical,0.578762557695031,0.334714046605301,0.6408151007434162,0.1304588910483606,0.1198485005435688,0.6055545710837467,0.4608255000970891,0.3757479102479747,0.6238976599722693,0
cl139,classical,0.5024151407685749,0.4305961957114333,0.6198846075184478,0.2238826812586747,0.1705078035504195,0.6573409196655575,0.5823225945958264,0.2552994474683192,0.6112745324979433,0
cl179,classical,0.3470508817512998,0.2322027958030112,0.4142989426685988,0.0272624182138296,0.249062685950355,0.3533639264130529,0.352638119925494,0.5731228955394648,0.2970344204801108,0
cl103,classical,0.5669004629258638,0.5286049125995471,0.7098620245113507,0.3674729761633789,0.2024096915714573,0.7451156399958856,0.6713151460229881,0.1695543632873564,0.7218222478900732,0
cl065,classical,0.6278718526059379,0.3738356470190189,0.7159673470184701,0.1950764793064132,0.288164966135228,0.748799886937892,0.6630460234596405,0.3693823023144523,0.740932484865145,0
cl052,classical,0.7062947105933128,0.1682519405760836,0.6737594198304001,0.0472058020926457,0.1790962850149858,0.4897386968772517,0.3731077740425217,0.5145329606584533,0.4546160609692323,0
cl076,classical,0.5828858227768352,0.4422374922490606,0.6798260200318067,0.1366482605654264,0.3175301893179396,0.612021740164161,0.6575336868168078,0.3136267893871018,0.5781889747893225,0
cl046,classical,0.6890135461816018,0.2113097467518442,0.6927122926169139,0.1013857660926109,0.2008598100838787,0.5210495189450813,0.371699748929581,0.5351361201098813,0.5036928784983731,0
cl186,classical,0.6237901882061223,0.3772242886615936,0.6714089543197524,0.150325097451391,0.1824200817320393,0.490568090218798,0.5566457734151922,0.2594940730106281,0.4346723869306044,0
cl107,classical,0.299162819200623,0.2976754925408323,0.42031907296682,0.0332954962573677,0.3551504120220318,0.4353746961448478,0.5109766644087748,0.5488909593048893,0.3896529147712257,0
cl012,classical,0.5255186624446824,0.4356934237282942,0.6232196861092396,0.1489952858656303,0.1962422075341164,0.4984307591431298,0.5528264397552121,0.2333663591793935,0.4777084126321613,0
cl168,classical,0.5212781056718272,0.2763806970780469,0.5708026655671068,0.0353884881532261,0.1939851536704923,0.4021904722120654,0.3857320289942862,0.5034811198646335,0.3500963475132398,0
cl140,classical,0.4728285216197324,0.5615184682387179,0.6432542258628363,0.3483596596418094,0.3891330770194608,0.7233913361325086,0.7825103850548882,0.185321123300643,0.6285114106547721,0
cl240,classical,0.4966286198160189,0.5326445683650644,0.6716817356169261,0.173689510128568,0.3900379844112229,0.5955721350369336,0.6945591309165646,0.3488697765094362,0.5850793937015009,0
cl221,classical,0.2530118723422694,0.5024860905614845,0.4429892084038597,0.2741010223707826,0.4576855844972879,0.7286573087568682,0.7088543317405074,0.4881985017270268,0.6327270759660105,0
cl060,classical,0.6875301888278895,0.1382126369532308,0.651241323748704,0.0614076688409807,0.2070824942448817,0.4558833582995448,0.3152895076442006,0.5667936617822978,0.4084231162696605,0
cl217,classical,0.0698974450967979,0.139399795797279,0.1258529657124827,0.0082634396240034,0.5156185748484127,0.2602627402779838,0.1907399359012802,0.9363030036873566,0.1418466963980603,0
cl153,classical,0.6251875782801597,0.4527602304118291,0.6942934267683202,0.1966936875994594,0.3102747948581897,0.5705268381149133,0.664890678531426,0.2535423682594044,0.5111987208667439,0
cl205,classical,0.50429064413845,0.4804999642632293,0.6553907113280669,0.215497700070337,0.3100428541885117,0.6241051055448277,0.6448957690604884,0.3628968660899152,0.5625721345374085,0
cl151,classical,0.5247423376781901,0.3250512307341895,0.5635532800763807,0.064670591946618,0.1166095224732444,0.4015453885019737,0.3089190863758217,0.4746043442647741,0.3470213243518272,0
cl006,classical,0.5599070381483806,0.525263321359684,0.6909037243577724,0.2672155617043935,0.1234939466316623,0.5947531776534063,0.5189634055392387,0.2128442077189751,0.5556853409289676,0
cl232,classical,0.5883562404701659,0.4198391363587024,0.7001160697920491,0.1506284156872207,0.2680712123509996,0.5720618083469327,0.6069448085968383,0.355952162208114,0.52095740804023,0
cl101,classical,0.546568155419539,0.6142545438451757,0.7255170967374349,0.6051570291492784,0.3843624237964426,0.8673009567267693,0.8531549999550035,0.0828441721389947,0.7952585170319021,0
cl191,classical,0.5355052459064462,0.360680496614819,0.5943090048319422,0.1212229265137696,0.2763548783494123,0.4692555939756692,0.6012639808365805,0.2520970586284374,0.4560877991821315,0
cl147,classical,0.6293770885451979,0.2991216002055629,0.6668721171116156,0.1083785280328275,0.139299122502879,0.5328187737814183,0.4277728063150996,0.4459576948950606,0.5117015347329317,0
cl173,classical,0.5494632939746713,0.4517266257205147,0.6233328880455706,0.0740624721785814,0.2972851158532456,0.4244611603859641,0.5711800985269708,0.3126716257535014,0.3689370060017015,0
cl216,classical,0.1695401534161792,0.507979410287695,0.3913242215159329,0.0314465630302025,0.6064904044516585,0.3120026282105346,0.5546139480042562,0.5669044680068628,0.2052883408970829,0
cl087,classical,0.6308169255188112,0.5375557005424418,0.7673065824165399,0.2439626884057642,0.1503968820269806,0.6607550109033649,0.5480648263272261,0.2696816379599761,0.6138011890635979,0
cl034,classical,0.630172094339676,0.3108151151832502,0.668768288672838,0.1185052039886095,0.0439903998150706,0.5059516651823923,0.3074661655896116,0.3556277490300008,0.5074323004925548,0
cl038,classical,0.5875851551916149,0.3197430882473254,0.6348062505939832,0.1166288616412911,0.0169719144688766,0.4590925038307187,0.1750260973431467,0.3669428816785212,0.4531262637898897,0
cl033,classical,0.5744567224754211,0.2936012956494576,0.6282958703014355,0.1095338605052479,0.1107714401817977,0.5439849245805989,0.4108736060252667,0.3968537639934156,0.5363356762853254,0
cl229,classical,0.3785397134261875,0.453587468721592,0.5216077621756579,0.1465207684763034,0.2671072348302654,0.418761594341989,0.4291967125477256,0.4074390622947003,0.3375438346508422,0
cl209,classical,0.3177656234792788,0.3804477522289445,0.425118941090444,0.0891191724084083,0.3078055212784638,0.4006431792951535,0.5438028631742975,0.3536998223796551,0.4444329430494955,0
cl206,classical,0.1763358900516247,0.1470018223493426,0.2098129895972216,0.0242162133827547,0.388830004910332,0.2424004778843328,0.1036207263938435,0.8572016548757152,0.1394763557239898,0
